Objects
100
,,Global Angle ADCL_Ped2:ADCL_Ped2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.107458,0.178266,-1.91408,-1392.62,1630.82,1928.76
2,0,-0.0829564,0.143351,-1.89525,-1391.71,1630.83,1929.7
3,0,-0.0701411,0.125782,-1.88285,-1391.45,1630.8,1930.08
4,0,-0.0104347,0.103619,-1.73327,-1395.37,1637.25,1933.24
5,0,-0.00946044,0.103667,-1.73463,-1395.79,1636.96,1933.23
6,0,-0.00703213,0.103964,-1.73656,-1396.17,1636.63,1933.23
7,0,-0.00398063,0.101338,-1.73788,-1397.52,1636.72,1933.61
8,0,-0.00991453,0.0991031,-1.73923,-1396.87,1636.17,1933.32
9,0,-0.00796784,0.0988157,-1.74187,-1397.38,1635.93,1933.31
10,0,-0.00502105,0.0943677,-1.74285,-1397.92,1635.77,1933.42
11,0,-0.0043362,0.0956888,-1.74525,-1398.26,1635.5,1933.32
12,0,-0.00532511,0.104377,-1.74978,-1398.36,1635.21,1933.15
13,0,-0.00230016,0.0959265,-1.74453,-1399.16,1635.24,1933.38
14,0,0.000515216,0.09985,-1.74349,-1399.45,1635.06,1933.36
15,0,-0.00314807,0.104092,-1.75067,-1399.58,1634.76,1933.21
16,0,-0.00276005,0.102917,-1.75197,-1399.94,1634.57,1933.24
17,0,-0.00215142,0.102655,-1.75116,-1401,1634.6,1933.38
18,0,0.00206786,0.0972695,-1.74511,-1401.82,1634.68,1933.64
19,0,0.00297258,0.0971876,-1.74324,-1402.63,1634.74,1933.75
20,0,0.00407488,0.0966639,-1.742,-1403.04,1634.67,1933.83
21,0,0.00453527,0.0960728,-1.74133,-1403.8,1634.71,1933.88
22,0,0.00487549,0.0954566,-1.74093,-1404.22,1634.66,1933.96
23,0,0.00214438,0.0999783,-1.74506,-1404.66,1634.6,1933.83
24,0,0.00667632,0.0949131,-1.73927,-1405.54,1634.7,1934.11
25,0,0.00755179,0.0942752,-1.73873,-1406.22,1634.72,1934.13
26,0,0.00863332,0.0932929,-1.73854,-1406.94,1634.81,1934.3
27,0,0.00711952,0.0880061,-1.73992,-1406.99,1634.59,1934.11
